189.0,325.0,191.0,327.0
188.0,322.0,189.0,325.0
191.0,319.0,188.0,322.0
204.0,312.0,191.0,319.0
231.0,303.0,204.0,312.0
243.0,300.0,231.0,303.0
291.0,293.0,243.0,300.0
326.0,291.0,291.0,293.0
360.0,292.0,326.0,291.0
393.0,298.0,360.0,292.0
422.0,307.0,393.0,298.0
450.0,319.0,422.0,307.0
472.0,333.0,450.0,319.0
492.0,348.0,472.0,333.0
511.0,367.0,492.0,348.0
528.0,386.0,511.0,367.0
546.0,406.0,528.0,386.0
576.0,434.0,546.0,406.0
599.0,451.0,576.0,434.0
621.0,467.0,599.0,451.0
645.0,480.0,621.0,467.0
671.0,488.0,645.0,480.0
696.0,494.0,671.0,488.0
724.0,499.0,696.0,494.0
750.0,504.0,724.0,499.0
776.0,507.0,750.0,504.0
805.0,509.0,776.0,507.0
846.0,509.0,805.0,509.0
876.0,509.0,846.0,509.0
906.0,509.0,876.0,509.0
934.0,509.0,906.0,509.0
963.0,505.0,934.0,509.0
989.0,500.0,963.0,505.0
1011.0,494.0,989.0,500.0
1032.0,484.0,1011.0,494.0
1050.0,472.0,1032.0,484.0
1066.0,454.0,1050.0,472.0
1080.0,433.0,1066.0,454.0
1089.0,412.0,1080.0,433.0
1095.0,385.0,1089.0,412.0
1099.0,358.0,1095.0,385.0
1102.0,331.0,1099.0,358.0
1100.0,292.0,1102.0,331.0
1095.0,268.0,1100.0,292.0
1084.0,246.0,1095.0,268.0
1068.0,223.0,1084.0,246.0
1049.0,205.0,1068.0,223.0
1030.0,190.0,1049.0,205.0
1010.0,180.0,1030.0,190.0
993.0,175.0,1010.0,180.0
977.0,172.0,993.0,175.0
945.0,174.0,977.0,172.0
921.0,178.0,945.0,174.0
894.0,183.0,921.0,178.0
861.0,191.0,894.0,183.0
832.0,199.0,861.0,191.0
804.0,210.0,832.0,199.0
774.0,222.0,804.0,210.0
747.0,232.0,774.0,222.0
717.0,242.0,747.0,232.0
690.0,249.0,717.0,242.0
666.0,251.0,690.0,249.0
642.0,249.0,666.0,251.0
619.0,241.0,642.0,249.0
597.0,227.0,619.0,241.0
561.0,195.0,597.0,227.0
538.0,175.0,561.0,195.0
516.0,160.0,538.0,175.0
495.0,145.0,516.0,160.0
473.0,134.0,495.0,145.0
450.0,126.0,473.0,134.0
426.0,119.0,450.0,126.0
404.0,115.0,426.0,119.0
378.0,112.0,404.0,115.0
337.0,112.0,378.0,112.0
323.0,113.0,337.0,112.0
276.0,123.0,323.0,113.0
247.0,130.0,276.0,123.0
219.0,138.0,247.0,130.0
189.0,146.0,219.0,138.0
163.0,154.0,189.0,146.0
