3.0,100.0,3,100
3.0,100.0,177,104
177.0,104.0,209,108
209.0,108.0,268,112
268.0,112.0,335,113
335.0,113.0,420,115
420.0,115.0,467,113
467.0,113.0,543,105
543.0,105.0,601,98
601.0,98.0,635,93
635.0,93.0,681,86
681.0,86.0,722,82
722.0,82.0,770,76
770.0,76.0,800,70
800.0,70.0,858,61
858.0,61.0,931,49
931.0,49.0,967,45
967.0,45.0,1022,47
1022.0,47.0,1097,55
1097.0,55.0,1151,76
1151.0,76.0,1182,106
1182.0,106.0,1214,152
1214.0,152.0,1238,201
1238.0,201.0,1251,258
1251.0,258.0,1259,322
1259.0,322.0,1260,379
1260.0,379.0,1262,442
1262.0,442.0,1265,520
1265.0,520.0,1264,572
1264.0,572.0,1255,619
1255.0,619.0,1241,659
1241.0,659.0,1222,687
1222.0,687.0,1169,714
1169.0,714.0,1082,716
1082.0,716.0,1042,715
1042.0,715.0,1003,710
1003.0,710.0,953,701
953.0,701.0,911,685
911.0,685.0,876,663
876.0,663.0,854,642
854.0,642.0,837,619
837.0,619.0,818,592
818.0,592.0,790,541
0.0,202.0,0,202
0.0,202.0,73,202
73.0,202.0,113,204
113.0,204.0,176,205
176.0,205.0,236,206
236.0,206.0,305,208
305.0,208.0,392,205
392.0,205.0,452,202
452.0,202.0,533,198
533.0,198.0,600,193
600.0,193.0,661,187
661.0,187.0,727,175
727.0,175.0,773,168
773.0,168.0,827,159
827.0,159.0,883,151
883.0,151.0,941,147
941.0,147.0,983,149
983.0,149.0,1016,157
1016.0,157.0,1042,171
1042.0,171.0,1074,190
1074.0,190.0,1101,215
1101.0,215.0,1116,238
1116.0,238.0,1133,272
1133.0,272.0,1142,312
1142.0,312.0,1145,351
1145.0,351.0,1147,388
1147.0,388.0,1148,426
1148.0,426.0,1148,462
1148.0,462.0,1142,492
1142.0,492.0,1135,514
1135.0,514.0,1120,533
1120.0,533.0,1100,549
1100.0,549.0,1070,559
1070.0,559.0,1043,559
1043.0,559.0,1012,556
1012.0,556.0,992,548
992.0,548.0,967,530
967.0,530.0,949,511
949.0,511.0,932,489
932.0,489.0,916,461
916.0,461.0,895,430
895.0,430.0,878,405
878.0,405.0,853,374
853.0,374.0,839,359
839.0,359.0,818,341
818.0,341.0,794,324
794.0,324.0,767,307
767.0,307.0,743,292
743.0,292.0,710,277
710.0,277.0,677,262
677.0,262.0,629,245
629.0,245.0,603,239
603.0,239.0,575,235
575.0,235.0,540,234
540.0,234.0,511,234
511.0,234.0,476,239
476.0,239.0,451,250
451.0,250.0,435,259
435.0,259.0,409,270
409.0,270.0,379,274
379.0,274.0,345,275
345.0,275.0,311,269
311.0,269.0,281,261
281.0,261.0,253,255
253.0,255.0,219,250
219.0,250.0,186,249
186.0,249.0,152,253
152.0,253.0,113,266
113.0,266.0,89,285
89.0,285.0,54,322
54.0,322.0,32,355
32.0,355.0,24,382
24.0,382.0,17,412
17.0,412.0,11,452
11.0,452.0,8,487
8.0,487.0,5,532
5.0,532.0,5,569
5.0,569.0,11,604
11.0,604.0,27,625
27.0,625.0,50,643
50.0,643.0,70,656
70.0,656.0,99,668
99.0,668.0,134,675
134.0,675.0,171,678
171.0,678.0,204,676
204.0,676.0,233,670
233.0,670.0,260,663
260.0,663.0,288,650
288.0,650.0,316,637
316.0,637.0,337,629
337.0,629.0,359,622
359.0,622.0,402,616
402.0,616.0,431,613
431.0,613.0,462,614
462.0,614.0,489,621
489.0,621.0,506,633
506.0,633.0,518,647
518.0,647.0,522,670
522.0,670.0,523,689
523.0,689.0,523,706
523.0,706.0,524,716
790.0,541.0,764,478
764.0,478.0,755,462
755.0,462.0,733,442
733.0,442.0,700,415
700.0,415.0,655,390
655.0,390.0,629,374
629.0,374.0,607,367
607.0,367.0,579,362
579.0,362.0,557,359
557.0,359.0,533,359
533.0,359.0,505,364
505.0,364.0,476,373
476.0,373.0,449,386
449.0,386.0,429,394
429.0,394.0,407,397
407.0,397.0,375,398
375.0,398.0,341,391
341.0,391.0,314,381
314.0,381.0,284,372
284.0,372.0,252,365
252.0,365.0,223,363
223.0,363.0,197,365
197.0,365.0,173,376
173.0,376.0,153,394
153.0,394.0,147,407
147.0,407.0,138,435
138.0,435.0,126,465
126.0,465.0,124,482
124.0,482.0,125,505
125.0,505.0,125,523
125.0,523.0,128,535
128.0,535.0,133,544
133.0,544.0,148,550
148.0,550.0,161,552
161.0,552.0,180,553
180.0,553.0,201,551
201.0,551.0,221,547
221.0,547.0,254,540
254.0,540.0,289,529
289.0,529.0,305,524
305.0,524.0,337,516
337.0,516.0,369,508
369.0,508.0,395,502
395.0,502.0,417,498
417.0,498.0,449,492
449.0,492.0,475,490
475.0,490.0,503,490
503.0,490.0,522,490
522.0,490.0,547,493
547.0,493.0,576,497
576.0,497.0,597,502
597.0,502.0,620,513
620.0,513.0,635,528
635.0,528.0,644,556
644.0,556.0,652,594
652.0,594.0,656,624
656.0,624.0,659,649
659.0,649.0,663,685
663.0,685.0,664,701
664.0,701.0,663,715
0.0,100.0,0,202
