1.0,364.0,58,371
58.0,371.0,129,370
129.0,370.0,181,368
181.0,368.0,238,370
238.0,370.0,310,395
310.0,395.0,351,434
351.0,434.0,390,467
390.0,467.0,420,501
420.0,501.0,433,531
433.0,531.0,452,583
452.0,583.0,483,635
483.0,635.0,538,671
538.0,671.0,609,691
609.0,691.0,711,700
711.0,700.0,801,700
801.0,700.0,929,693
929.0,693.0,994,686
994.0,686.0,1083,670
1083.0,670.0,1143,653
1143.0,653.0,1167,633
1167.0,633.0,1198,593
1198.0,593.0,1214,562
1214.0,562.0,1224,507
1224.0,507.0,1231,453
1231.0,453.0,1239,397
1239.0,397.0,1241,343
1241.0,343.0,1230,300
1230.0,300.0,1215,268
1215.0,268.0,1200,240
1200.0,240.0,1197,211
1197.0,211.0,1200,183
1200.0,183.0,1212,133
1212.0,133.0,1215,76
1215.0,76.0,1203,41
1203.0,41.0,1174,20
1174.0,20.0,1130,11
1130.0,11.0,1080,15
1080.0,15.0,1035,27
3.0,261.0,29,260
29.0,260.0,50,262
50.0,262.0,101,265
101.0,265.0,158,274
158.0,274.0,206,277
206.0,277.0,273,282
273.0,282.0,309,292
309.0,292.0,369,325
369.0,325.0,410,359
410.0,359.0,453,417
453.0,417.0,483,463
483.0,463.0,519,507
519.0,507.0,540,535
540.0,535.0,572,566
572.0,566.0,608,585
608.0,585.0,650,598
650.0,598.0,723,611
723.0,611.0,778,614
778.0,614.0,849,613
849.0,613.0,886,598
886.0,598.0,925,577
925.0,577.0,999,537
999.0,537.0,1041,494
1041.0,494.0,1059,451
1059.0,451.0,1071,406
1071.0,406.0,1085,355
1085.0,355.0,1098,327
1098.0,327.0,1126,280
1126.0,280.0,1132,224
1132.0,224.0,1121,181
1121.0,181.0,1108,136
1108.0,136.0,1098,118
1098.0,118.0,1077,113
1077.0,113.0,1049,114
1049.0,114.0,1017,120
1017.0,120.0,997,125
997.0,125.0,976,136
976.0,136.0,953,171
953.0,171.0,942,211
942.0,211.0,931,259
931.0,259.0,926,279
926.0,279.0,915,340
915.0,340.0,903,382
903.0,382.0,888,421
888.0,421.0,861,457
861.0,457.0,844,469
844.0,469.0,809,481
809.0,481.0,757,485
757.0,485.0,704,484
704.0,484.0,666,475
666.0,475.0,622,445
622.0,445.0,601,428
601.0,428.0,567,387
567.0,387.0,543,347
543.0,347.0,517,313
517.0,313.0,501,291
501.0,291.0,480,271
480.0,271.0,458,256
458.0,256.0,432,247
432.0,247.0,390,235
390.0,235.0,336,226
336.0,226.0,290,218
290.0,218.0,254,211
254.0,211.0,181,193
181.0,193.0,119,162
119.0,162.0,67,136
67.0,136.0,31,103
31.0,103.0,0,46
0.0,46.0,1,3
1165.0,354.0,1132,446
1132.0,446.0,1117,508
1117.0,508.0,1101,560
1101.0,560.0,1152,478
1152.0,478.0,1170,411
1170.0,411.0,1173,340
1173.0,340.0,1166,353
640.0,309.0,682,323
682.0,323.0,711,325
711.0,325.0,741,323
741.0,323.0,771,316
771.0,316.0,811,307
811.0,307.0,837,293
837.0,293.0,822,340
822.0,340.0,813,361
813.0,361.0,788,383
788.0,383.0,752,392
752.0,392.0,717,393
717.0,393.0,691,387
691.0,387.0,663,364
663.0,364.0,636,337
636.0,337.0,625,315
625.0,315.0,623,300
623.0,300.0,638,307
1035.0,28.0,1011,34
1011.0,34.0,966,58
966.0,58.0,928,77
928.0,77.0,906,88
906.0,88.0,870,115
870.0,115.0,854,133
854.0,133.0,843,153
843.0,153.0,829,177
829.0,177.0,819,189
819.0,189.0,799,212
799.0,212.0,780,230
780.0,230.0,756,241
756.0,241.0,735,244
735.0,244.0,726,243
726.0,243.0,715,246
715.0,246.0,695,251
695.0,251.0,678,253
678.0,253.0,646,256
646.0,256.0,631,254
631.0,254.0,606,238
606.0,238.0,589,226
589.0,226.0,563,206
563.0,206.0,540,193
540.0,193.0,519,180
519.0,180.0,486,171
486.0,171.0,469,167
469.0,167.0,446,161
446.0,161.0,395,151
395.0,151.0,332,138
332.0,138.0,294,127
294.0,127.0,237,115
237.0,115.0,206,105
206.0,105.0,161,88
161.0,88.0,135,73
135.0,73.0,123,52
123.0,52.0,120,2
